Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1600000US3721500,3721500,"Enochville CDP, North Carolina",2903,367
1600000US3721740,3721740,"Erwin town, North Carolina",4798,36
1600000US3721880,3721880,"Etowah CDP, North Carolina",7589,587
1600000US3721960,3721960,"Eureka town, North Carolina",193,66
1600000US3722040,3722040,"Everetts town, North Carolina",155,60
1600000US3722080,3722080,"Evergreen CDP, North Carolina",261,137
1600000US3722240,3722240,"Fair Bluff town, North Carolina",695,167
1600000US3722280,3722280,"Fairfield CDP, North Carolina",314,213
1600000US3722305,3722305,"Fairfield Harbour CDP, North Carolina",3044,259
1600000US3722360,3722360,"Fairmont town, North Carolina",2659,34
1600000US3722380,3722380,"Fairplains CDP, North Carolina",2118,351
1600000US3722440,3722440,"Fairview CDP, North Carolina",2939,876
1600000US3722500,3722500,"Fairview town, North Carolina",3660,31
1600000US3722560,3722560,"Faison town, North Carolina",1137,314
1600000US3722600,3722600,"Faith town, North Carolina",808,210
1600000US3722620,3722620,"Falcon town, North Carolina",223,75
1600000US3722640,3722640,"Falkland town, North Carolina",82,79
1600000US3722720,3722720,"Fallston town, North Carolina",574,157
1600000US3722820,3722820,"Farmville town, North Carolina",4720,17
1600000US3722920,3722920,"Fayetteville city, North Carolina",210324,61
1600000US3722982,3722982,"Fearrington Village CDP, North Carolina",2784,285
1600000US3723520,3723520,"Five Points CDP, North Carolina",781,220
1600000US3723600,3723600,"Flat Rock village, North Carolina",3267,35
1600000US3723640,3723640,"Flat Rock CDP, North Carolina",1306,277
1600000US3723760,3723760,"Fletcher town, North Carolina",7737,28
1600000US3723980,3723980,"Fontana Dam town, North Carolina",9,12
1600000US3724080,3724080,"Forest City town, North Carolina",7250,35
1600000US3724170,3724170,"Forest Hills village, North Carolina",341,121
1600000US3724198,3724198,"Forest Oaks CDP, North Carolina",3467,421
1600000US3724380,3724380,"Foscoe CDP, North Carolina",1632,312
1600000US3724440,3724440,"Fountain town, North Carolina",334,100
1600000US3724520,3724520,"Four Oaks town, North Carolina",1862,393
1600000US3724570,3724570,"Foxfire village, North Carolina",1204,234
1600000US3724640,3724640,"Franklin town, North Carolina",3934,18
1600000US3724720,3724720,"Franklinton town, North Carolina",2248,485
1600000US3724740,3724740,"Franklinville town, North Carolina",1125,255
1600000US3724900,3724900,"Fremont town, North Carolina",1258,299
1600000US3725020,3725020,"Frisco CDP, North Carolina",152,75
1600000US3725160,3725160,"Fruitland CDP, North Carolina",2275,268
1600000US3725300,3725300,"Fuquay-Varina town, North Carolina",24373,49
1600000US3725380,3725380,"Gamewell town, North Carolina",3979,26
1600000US3725460,3725460,"Garland town, North Carolina",699,205
1600000US3725480,3725480,"Garner town, North Carolina",28048,30
1600000US3725540,3725540,"Garysburg town, North Carolina",1085,287
1600000US3725560,3725560,"Gaston town, North Carolina",1046,245
1600000US3725580,3725580,"Gastonia city, North Carolina",74381,60
1600000US3725680,3725680,"Gatesville town, North Carolina",313,101
1600000US3725880,3725880,"Germanton CDP, North Carolina",853,366
1600000US3725900,3725900,"Gerton CDP, North Carolina",302,122
1600000US3725940,3725940,"Gibson town, North Carolina",476,95
1600000US3725980,3725980,"Gibsonville town, North Carolina",6845,26
1600000US3726200,3726200,"Glen Alpine town, North Carolina",1408,264
1600000US3726460,3726460,"Glen Raven CDP, North Carolina",2841,563
1600000US3726520,3726520,"Glenville CDP, North Carolina",76,43
1600000US3726680,3726680,"Gloucester CDP, North Carolina",522,165
1600000US3726740,3726740,"Godwin town, North Carolina",118,48
1600000US3726880,3726880,"Goldsboro city, North Carolina",35432,42
1600000US3726920,3726920,"Goldston town, North Carolina",297,101
1600000US3727120,3727120,"Gorman CDP, North Carolina",807,304
1600000US3727280,3727280,"Graham city, North Carolina",14540,46
1600000US3727320,3727320,"Grandfather village, North Carolina",63,25
1600000US3727420,3727420,"Granite Falls town, North Carolina",4644,23
1600000US3727440,3727440,"Granite Quarry town, North Carolina",2947,25
1600000US3727520,3727520,"Grantsboro town, North Carolina",809,200
1600000US3727780,3727780,"Greenevers town, North Carolina",759,206
1600000US3727870,3727870,"Green Level town, North Carolina",1878,286
1600000US3728000,3728000,"Greensboro city, North Carolina",284816,130
1600000US3728080,3728080,"Greenville city, North Carolina",90347,54
1600000US3728200,3728200,"Grifton town, North Carolina",2782,405
1600000US3728240,3728240,"Grimesland town, North Carolina",483,123
1600000US3728400,3728400,"Grover town, North Carolina",977,282
1600000US3728600,3728600,"Gulf CDP, North Carolina",490,324
1600000US3728900,3728900,"Half Moon CDP, North Carolina",7696,657
1600000US3728920,3728920,"Halifax town, North Carolina",218,85
1600000US3729000,3729000,"Hallsboro CDP, North Carolina",408,157
1600000US3729120,3729120,"Hamilton town, North Carolina",409,108
1600000US3729160,3729160,"Hamlet city, North Carolina",6401,30
1600000US3729180,3729180,"Hampstead CDP, North Carolina",5200,711
1600000US3729560,3729560,"Harkers Island CDP, North Carolina",1447,172
1600000US3729640,3729640,"Harmony town, North Carolina",582,142
1600000US3729680,3729680,"Harrells town, North Carolina",124,56
1600000US3729720,3729720,"Harrellsville town, North Carolina",113,54
1600000US3729800,3729800,"Harrisburg town, North Carolina",14856,33
1600000US3730040,3730040,"Hassell town, North Carolina",25,20
1600000US3730100,3730100,"Hatteras CDP, North Carolina",395,183
1600000US3730120,3730120,"Havelock city, North Carolina",20404,35
1600000US3730260,3730260,"Haw River town, North Carolina",2568,468
1600000US3730280,3730280,"Hayesville town, North Carolina",365,109
1600000US3730340,3730340,"Hays CDP, North Carolina",1762,510
1600000US3730620,3730620,"Hemby Bridge town, North Carolina",1563,342
1600000US3730660,3730660,"Henderson city, North Carolina",15009,26
1600000US3730720,3730720,"Hendersonville city, North Carolina",13620,34
1600000US3730800,3730800,"Henrietta CDP, North Carolina",400,299
1600000US3730900,3730900,"Hertford town, North Carolina",2533,351
1600000US3731060,3731060,"Hickory city, North Carolina",40157,63
1600000US3731260,3731260,"Hiddenite CDP, North Carolina",361,183
1600000US3731360,3731360,"Highlands town, North Carolina",1079,145
1600000US3731400,3731400,"High Point city, North Carolina",109849,114
1600000US3731440,3731440,"High Shoals city, North Carolina",678,183
1600000US3731490,3731490,"Hightsville CDP, North Carolina",824,187
1600000US3731500,3731500,"Hildebran town, North Carolina",2160,359
1600000US3731620,3731620,"Hillsborough town, North Carolina",7033,28
1600000US3731860,3731860,"Hobgood town, North Carolina",353,94
1600000US3731880,3731880,"Hobucken CDP, North Carolina",80,67
1600000US3731920,3731920,"Hoffman town, North Carolina",645,175
1600000US3731960,3731960,"Holden Beach town, North Carolina",1037,160
1600000US3732100,3732100,"Hollister CDP, North Carolina",835,123
1600000US3732180,3732180,"Holly Ridge town, North Carolina",2202,389
1600000US3732260,3732260,"Holly Springs town, North Carolina",31827,35
1600000US3732540,3732540,"Hookerton town, North Carolina",397,92
1600000US3732580,3732580,"Hoopers Creek CDP, North Carolina",1268,307
1600000US3732640,3732640,"Hope Mills town, North Carolina",16106,43
1600000US3732740,3732740,"Horse Shoe CDP, North Carolina",2455,339
1600000US3732840,3732840,"Hot Springs town, North Carolina",594,172
1600000US3732980,3732980,"Hudson town, North Carolina",3699,24
1600000US3733120,3733120,"Huntersville town, North Carolina",53302,65
1600000US3733320,3733320,"Icard CDP, North Carolina",2890,556
1600000US3733460,3733460,"Indian Beach town, North Carolina",233,76
1600000US3733560,3733560,"Indian Trail town, North Carolina",37191,63
1600000US3733640,3733640,"Ingold CDP, North Carolina",476,383
1600000US3733820,3733820,"Iron Station CDP, North Carolina",653,177
1600000US3733940,3733940,"Ivanhoe CDP, North Carolina",165,166
1600000US3733993,3733993,"JAARS CDP, North Carolina",468,204
1600000US3734000,3734000,"Jackson town, North Carolina",543,137
1600000US3734038,3734038,"Jackson Heights CDP, North Carolina",571,188
1600000US3734200,3734200,"Jacksonville city, North Carolina",73661,47
1600000US3734260,3734260,"James City CDP, North Carolina",5882,607
1600000US3734300,3734300,"Jamestown town, North Carolina",3836,47
1600000US3734320,3734320,"Jamesville town, North Carolina",566,192
1600000US3734440,3734440,"Jefferson town, North Carolina",1543,306
1600000US3734840,3734840,"Jonesville town, North Carolina",2376,379
1600000US3735200,3735200,"Kannapolis city, North Carolina",46498,43
